id,WallOffset,Xaxis,Yaxis,AVG_Lux,W01,W02,W03
15504,1.9,5.190834,-143.490824,316.616111,5.347439,5.238848,5.548704
15505,1.9,1.890397,-143.490824,1020.000667,2.26939,2.000138,2.710741
15506,1.9,15.092144,-142.75721,981.754,15.116883,15.151614,15.332969
15507,1.9,11.791708,-142.75721,310.352778,11.820232,11.864617,12.095563
15508,1.9,8.491271,-142.75721,218.755,8.52651,8.587936,8.904556
15509,1.9,5.190834,-142.75721,308.035556,5.241244,5.34059,5.836552
15510,1.9,1.890397,-142.75721,954.224667,2.006407,2.253205,3.259653
15511,1,15.992144,-145.858053,1068.225333,16.389308,16.135617,16.018202
15512,1,12.991795,-145.858053,369.491333,13.475176,13.165451,13.021454
15513,1,9.991446,-145.858053,218.825556,10.609218,10.212945,10.026861
15514,1,6.991096,-145.858053,216.244444,7.844415,7.299561,7.037172
15515,1,3.990747,-145.858053,369.038,5.34026,4.501902,4.06323
15516,1,0.990397,-145.858053,1045.468667,3.675065,2.292344,1.225592
15517,1,15.992144,-144.524439,1442.526,16.157089,16.025015,16.032049
15518,1,12.991795,-144.524439,433.934667,13.191758,13.02966,13.038484
15519,1,9.991446,-144.524439,232.185556,10.246834,10.03729,10.048967
15520,1,6.991096,-144.524439,233.748889,7.346901,7.051704,7.068634
15521,1,3.990747,-144.524439,426.804667,4.578262,4.087795,4.117478
15522,1,0.990397,-144.524439,1421.833333,2.438895,1.302994,1.394944
15523,1,15.992144,-143.190824,1442.059333,16.0328,16.025015,16.156344
15524,1,12.991795,-143.190824,428.003333,13.039234,13.029661,13.191016
15525,1,9.991446,-143.190824,235.153889,10.049715,10.03729,10.2461
15526,1,6.991096,-143.190824,232.641111,7.069379,7.051705,7.346184
15527,1,3.990747,-143.190824,421.698667,4.118209,4.087795,4.577606
15528,1,0.990397,-143.190824,1420.432667,1.395482,1.302995,2.438588
15529,1,15.992144,-141.85721,1061.685333,16.018954,16.135618,16.388574
15530,1,12.991795,-141.85721,369.027333,13.022206,13.165451,13.47445
15531,1,9.991446,-141.85721,221.050556,10.027611,10.212945,10.608509
15532,1,6.991096,-141.85721,222.778889,7.037921,7.299561,7.843744
15533,1,3.990747,-141.85721,365.339333,4.063971,4.501902,5.339698
15534,1,0.990397,-141.85721,1040.069333,1.226207,2.292346,3.674862
15535,1.1,15.892144,-145.758053,1068.225333,16.270484,16.024275,15.915471
15536,1.1,12.931795,-145.758053,369.491333,13.391547,13.091305,12.958068
15537,1.1,9.971446,-145.758053,218.825556,10.557733,10.174206,10.002409
15538,1.1,7.011096,-145.758053,216.244444,7.818264,7.29205,7.050686
15539,1.1,4.050747,-145.758053,369.038,5.320914,4.512302,4.111386
15540,1.1,1.090397,-145.758053,1045.468667,3.609201,2.252793,1.273639
15541,1.1,15.892144,-144.491105,1445.973,16.053582,15.92379,15.934012
15542,1.1,12.931795,-144.491105,439.008,13.127162,12.968113,12.980834
15543,1.1,9.971446,-144.491105,232.101667,10.220302,10.015196,10.031885
15544,1.1,7.011096,-144.491105,233.765,7.356229,7.068499,7.09244
15545,1.1,4.050747,-144.491105,431.895,4.615298,4.141323,4.182586
15546,1.1,1.090397,-144.491105,1422.704,2.452587,1.365564,1.487511
15547,1.1,15.892144,-143.224158,1438.795,15.934763,15.92379,16.052837
15548,1.1,12.931795,-143.224158,433.865,12.981584,12.968113,13.12642
15549,1.1,9.971446,-143.224158,236.505,10.032633,10.015196,10.219567
15550,1.1,7.011096,-143.224158,231.2325,7.093184,7.0685,7.355511
15551,1.1,4.050747,-143.224158,425.581,4.183316,4.141323,4.614637
15552,1.1,1.090397,-143.224158,1422.612,1.488067,1.365565,2.452251
15553,1.1,15.892144,-141.95721,1061.685333,15.916223,16.024276,16.269749
15554,1.1,12.931795,-141.95721,369.027333,12.958819,13.091305,13.39082
15555,1.1,9.971446,-141.95721,221.050556,10.003159,10.174206,10.557022
15556,1.1,7.011096,-141.95721,222.778889,7.051435,7.292051,7.817589
15557,1.1,4.050747,-141.95721,365.339333,4.112129,4.512302,5.320341
15558,1.1,1.090397,-141.95721,1040.069333,1.27429,2.252794,3.608974
15559,1.2,15.792144,-145.658053,1151.5725,16.152025,15.913411,15.813337
15560,1.2,12.871795,-145.658053,380.183,13.308414,13.017781,12.895425
15561,1.2,9.951446,-145.658053,214.652,10.506985,10.136344,9.978939
15562,1.2,7.031096,-145.658053,215.012,7.79336,7.285959,7.065645
15563,1.2,4.110747,-145.658053,377.186,5.304062,4.525684,4.162253
15564,1.2,1.190397,-145.658053,1125.428333,3.547755,2.221555,1.335005
15565,1.2,15.792144,-144.457772,1376.145833,15.950101,15.82262,15.83607
15566,1.2,12.871795,-144.457772,439.008,13.062607,12.906637,12.923292
15567,1.2,9.951446,-144.457772,228.429,10.193848,9.993204,10.014925
15568,1.2,7.031096,-144.457772,230.332,7.36575,7.085468,7.116378
15569,1.2,4.110747,-144.457772,431.895,4.653051,4.195291,4.247805
15570,1.2,1.190397,-144.457772,1351.354167,2.470704,1.433165,1.581688
15571,1.2,15.792144,-143.257491,1373.5975,15.836821,15.82262,15.949356
15572,1.2,12.871795,-143.257491,433.865,12.924042,12.906637,13.061865
